Identifier,TypeID,Type,Package,Class,Member,Feature,Is_fprivate?,Is_inferred?,Parent_features,Is_terminal?,Is_hook?,Inferences,User_comment,Member_modifier,Method_Signature,Earliest_bound,Latest_bound,CodeAnnotation,LOC,FWBelongLevel,NeedsLocalConstructor
Application.Main,2,Class,Application,Main,,PLUGIN,TRUE,TRUE,,TRUE,FALSE,Application.Main; BttF says it's a child of Application THEN it also is fprivate of PLUGIN   ,,public ,,PLUGIN,PLUGIN,null,6,2,false
Application,1,Package,Application,,,PLUGIN,TRUE,FALSE,,TRUE,FALSE,,,,,FRAMEWORK,PLUGIN,null,0,2,false
Application.Main.main(String args[]),4,Method,Application,Main,main(String args[]),PLUGIN,TRUE,TRUE,,TRUE,FALSE,Application.Main.main(String args[]); BttF says it's a child of Application.Main THEN it also is fprivate of PLUGIN   ,,public static ,main(String[]),PLUGIN,PLUGIN,null,4,2,false
BI.Calc,2,Class,BI,Calc,,FRAMEWORK,FALSE,FALSE,,TRUE,FALSE,,,public ,,FRAMEWORK,PLUGIN,null,16,1,false
BI,1,Package,BI,,,FRAMEWORK,FALSE,FALSE,,TRUE,FALSE,,,,,FRAMEWORK,PLUGIN,null,0,1,false
BI.Calc.zero,3,Field,BI,Calc,zero,FRAMEWORK,FALSE,FALSE,,TRUE,FALSE,,,final static ,,FRAMEWORK,PLUGIN,null,1,1,false
BI.Calc.value,3,Field,BI,Calc,value,FRAMEWORK,FALSE,FALSE,,TRUE,FALSE,,,,,FRAMEWORK,PLUGIN,null,1,1,false
BI.Calc.sub(String n),4,Method,BI,Calc,sub(String n),FRAMEWORK,FALSE,FALSE,,TRUE,FALSE,,,,sub(String),FRAMEWORK,PLUGIN,null,1,1,false
BI.Calc.mul(String n),4,Method,BI,Calc,mul(String n),FRAMEWORK,FALSE,FALSE,,TRUE,FALSE,,,,mul(String),FRAMEWORK,PLUGIN,null,1,1,false
BI.Calc.add(String n),4,Method,BI,Calc,add(String n),FRAMEWORK,FALSE,FALSE,,TRUE,FALSE,,,,add(String),FRAMEWORK,PLUGIN,null,1,1,false
BI.Calc.div(String n),4,Method,BI,Calc,div(String n),FRAMEWORK,FALSE,FALSE,,TRUE,FALSE,,,,div(String),FRAMEWORK,PLUGIN,null,1,1,false
BI.Calc.get(),4,Method,BI,Calc,get(),FRAMEWORK,FALSE,FALSE,,TRUE,FALSE,,,,get(),FRAMEWORK,PLUGIN,null,1,1,false
BI.Calc.set(String n),4,Method,BI,Calc,set(String n),FRAMEWORK,FALSE,FALSE,,TRUE,FALSE,,,,set(String),FRAMEWORK,PLUGIN,null,1,1,false
BI.Calc.clear(),4,Method,BI,Calc,clear(),FRAMEWORK,FALSE,FALSE,,TRUE,FALSE,,,,clear(),FRAMEWORK,PLUGIN,null,1,1,false
BI.Gui,2,Class,BI,Gui,,FRAMEWORK,FALSE,FALSE,,TRUE,FALSE,,,public ,,FRAMEWORK,PLUGIN,null,20,3,false
BI.Gui.calc,3,Field,BI,Gui,calc,PLUGIN,TRUE,FALSE,,TRUE,FALSE,,,,,FRAMEWORK,PLUGIN,null,1,2,false
BI.Gui.Gui(String name),5,Constructor,BI,Gui,Gui(String name),FRAMEWORK,FALSE,FALSE,,TRUE,TRUE,BI.Gui.Gui(String name); BttF says it's a hook because it references declaration(s) classified in future features   ,,public ,Gui(String),FRAMEWORK,PLUGIN,null,5,1,false
BI.Gui.initComponents(),4,Method,BI,Gui,initComponents(),PLUGIN,FALSE,TRUE,,TRUE,FALSE,BI.Gui.initComponents(); BttF says since it calls fprivate BI.Gui.Clear THEN it also belongs to PLUGIN   ,,,initComponents(),FRAMEWORK,PLUGIN,@SuppressWarnings("unchecked"),103,2,false
BI.Gui.Result,3,Field,BI,Gui,Result,PLUGIN,TRUE,FALSE,,TRUE,FALSE,,,,,FRAMEWORK,PLUGIN,null,1,2,false
