Identifier,TypeID,Type,Package,Class,Member,Feature,Is_fprivate?,Is_inferred?,Parent_features,Is_terminal?,Is_hook?,Inferences,User_comment,Member_modifier,Method_Signature,Earliest_bound,Latest_bound,CodeAnnotation,LOC,FWBelongLevel,NeedsLocalConstructor
com.example.expressiontree.LevelOrderIterator,2,Class,com.example.expressiontree,LevelOrderIterator,,FRAMEWORK,FALSE,FALSE,,TRUE,FALSE,,,public ,,FRAMEWORK,PLUGIN,null,56,1,false
com.example.expressiontree,1,Package,com.example.expressiontree,,,FRAMEWORK,FALSE,FALSE,,TRUE,FALSE,,,,,FRAMEWORK,PLUGIN,null,0,3,false
com.example.expressiontree.LevelOrderIterator.queue,3,Field,com.example.expressiontree,LevelOrderIterator,queue,FRAMEWORK,FALSE,FALSE,,TRUE,FALSE,,,private ,,FRAMEWORK,PLUGIN,null,3,1,false
com.example.expressiontree.ExpressionTree,2,Class,com.example.expressiontree,ExpressionTree,,FRAMEWORK,FALSE,FALSE,,FALSE,FALSE,com.example.expressiontree.ExpressionTree; BttF says a method of a non-terminal class references it; this method cannot be hook;   THEN it also has to belong to FRAMEWORK   com.example.expressiontree.ExpressionTree; BttF says a method of a non-terminal class references it; this method cannot be hook;   THEN it also has to belong to FRAMEWORK   com.example.expressiontree.ExpressionTree; BttF says a method of a non-terminal class references it; this method cannot be hook;   THEN it also has to belong to FRAMEWORK   com.example.expressiontree.ExpressionTree; BttF says a method of a non-terminal class references it; this method cannot be hook;   THEN it also has to belong to FRAMEWORK   com.example.expressiontree.ExpressionTree; BttF says a method of a non-terminal class references it; this method cannot be hook;   THEN it also has to belong to FRAMEWORK   com.example.expressiontree.ExpressionTree; BttF says a method of a non-terminal class references it; this method cannot be hook;   THEN it also has to belong to FRAMEWORK   com.example.expressiontree.ExpressionTree; BttF says a method of a non-terminal class references it; this method cannot be hook;   THEN it also has to belong to FRAMEWORK   com.example.expressiontree.ExpressionTree; BttF says a method of a non-terminal class references it; this method cannot be hook;   THEN it also has to belong to FRAMEWORK   com.example.expressiontree.ExpressionTree; BttF says a method of a non-terminal class references it; this method cannot be hook;   THEN it also has to belong to FRAMEWORK   ,,public ,,FRAMEWORK,PLUGIN,null,73,1,false
com.example.expressiontree.LevelOrderIterator.LevelOrderIterator(ExpressionTree tree),5,Constructor,com.example.expressiontree,LevelOrderIterator,LevelOrderIterator(ExpressionTree tree),FRAMEWORK,FALSE,FALSE,,TRUE,FALSE,,,public ,LevelOrderIterator(ExpressionTree),FRAMEWORK,PLUGIN,null,5,1,false
com.example.expressiontree.ExpressionTree.isNull(),4,Method,com.example.expressiontree,ExpressionTree,isNull(),FRAMEWORK,FALSE,FALSE,,TRUE,FALSE,,,public ,isNull(),FRAMEWORK,PLUGIN,null,4,1,false
com.example.expressiontree.LevelOrderIterator.next(),4,Method,com.example.expressiontree,LevelOrderIterator,next(),FRAMEWORK,FALSE,FALSE,,TRUE,FALSE,,,public ,next(),FRAMEWORK,PLUGIN,null,27,1,false
com.example.expressiontree.ExpressionTree.right(),4,Method,com.example.expressiontree,ExpressionTree,right(),FRAMEWORK,FALSE,FALSE,,TRUE,FALSE,,,public ,right(),FRAMEWORK,PLUGIN,null,4,1,false
com.example.expressiontree.ExpressionTree.left(),4,Method,com.example.expressiontree,ExpressionTree,left(),FRAMEWORK,FALSE,FALSE,,TRUE,FALSE,,,public ,left(),FRAMEWORK,PLUGIN,null,4,1,false
com.example.expressiontree.LevelOrderIterator.hasNext(),4,Method,com.example.expressiontree,LevelOrderIterator,hasNext(),FRAMEWORK,FALSE,FALSE,,TRUE,FALSE,,,public ,hasNext(),FRAMEWORK,PLUGIN,null,4,1,false
