Identifier,TypeID,Type,Package,Class,Member,Feature,Is_fprivate?,Is_inferred?,Parent_features,Is_terminal?,Is_hook?,Inferences,User_comment,Member_modifier,Method_Signature,Earliest_bound,Latest_bound,CodeAnnotation,LOC,FWBelongLevel,NeedsLocalConstructor
Errors.NoValueSet,2,Class,Errors,NoValueSet,,PLUGIN,TRUE,FALSE,,TRUE,FALSE,,,public ,,FRAMEWORK,PLUGIN,null,9,2,false
Errors,1,Package,Errors,,,FRAMEWORK,FALSE,FALSE,,TRUE,FALSE,,,,,FRAMEWORK,PLUGIN,null,0,3,false
Errors.NoValueSet.NoValueSet(String error),5,Constructor,Errors,NoValueSet,NoValueSet(String error),PLUGIN,TRUE,TRUE,,TRUE,FALSE,Errors.NoValueSet.NoValueSet(String error); BttF says it's a child of Errors.NoValueSet THEN it also is fprivate of PLUGIN   ,,public ,NoValueSet(String),PLUGIN,PLUGIN,null,3,2,false
Errors.NoTableFound,2,Class,Errors,NoTableFound,,FRAMEWORK,FALSE,FALSE,,TRUE,FALSE,,,public ,,FRAMEWORK,PLUGIN,null,9,1,false
Errors.NoTableFound.NoTableFound(String error),5,Constructor,Errors,NoTableFound,NoTableFound(String error),FRAMEWORK,FALSE,FALSE,,TRUE,FALSE,,,public ,NoTableFound(String),FRAMEWORK,PLUGIN,null,3,1,false
Errors.PinAlreadySet,2,Class,Errors,PinAlreadySet,,FRAMEWORK,FALSE,FALSE,,TRUE,FALSE,,,public ,,FRAMEWORK,PLUGIN,null,9,1,false
Errors.PinAlreadySet.PinAlreadySet(String error),5,Constructor,Errors,PinAlreadySet,PinAlreadySet(String error),FRAMEWORK,FALSE,FALSE,,TRUE,FALSE,,,public ,PinAlreadySet(String),FRAMEWORK,PLUGIN,null,3,1,false
Errors.ValueAlreadySet,2,Class,Errors,ValueAlreadySet,,PLUGIN,TRUE,FALSE,,TRUE,FALSE,,,public ,,FRAMEWORK,PLUGIN,null,9,2,false
Errors.ValueAlreadySet.ValueAlreadySet(String error),5,Constructor,Errors,ValueAlreadySet,ValueAlreadySet(String error),PLUGIN,TRUE,TRUE,,TRUE,FALSE,Errors.ValueAlreadySet.ValueAlreadySet(String error); BttF says it's a child of Errors.ValueAlreadySet THEN it also is fprivate of PLUGIN   ,,public ,ValueAlreadySet(String),PLUGIN,PLUGIN,null,3,2,false
Errors.NoPinFound,2,Class,Errors,NoPinFound,,FRAMEWORK,FALSE,FALSE,,TRUE,FALSE,Errors.NoPinFound; BttF says a method of a non-terminal class references it; this method cannot be hook;   THEN it also has to belong to FRAMEWORK   Errors.NoPinFound; BttF says a method of a non-terminal class references it; this method cannot be hook;   THEN it also has to belong to FRAMEWORK   ,,public ,,FRAMEWORK,PLUGIN,null,9,1,false
Errors.NoPinFound.NoPinFound(String error),5,Constructor,Errors,NoPinFound,NoPinFound(String error),FRAMEWORK,FALSE,FALSE,,TRUE,FALSE,,,public ,NoPinFound(String),FRAMEWORK,PLUGIN,null,3,1,false
