Identifier,TypeID,Type,Package,Class,Member,Feature,Is_fprivate?,Is_inferred?,Parent_features,Is_terminal?,Is_hook?,Inferences,User_comment,Member_modifier,Method_Signature,Earliest_bound,Latest_bound,CodeAnnotation,LOC,FWBelongLevel,NeedsLocalConstructor
filters.FilterDecoratorWithImage,2,Class,filters,FilterDecoratorWithImage,,FRAMEWORK,FALSE,TRUE,,TRUE,FALSE,filters.FilterDecoratorWithImage; BttF says a static method of a framework class references it; this method cannot be hook;  THEN it also has to belong to FRAMEWORK   filters.FilterDecoratorWithImage; BttF says a static method of a framework class references it filters.FilterDecoratorWithImage THEN it also has to belong to FRAMEWORK   ,,public ,,FRAMEWORK,FRAMEWORK,null,30,1,false
filters,1,Package,filters,,,FRAMEWORK,FALSE,FALSE,,TRUE,FALSE,,,,,FRAMEWORK,PLUGIN,null,0,1,false
filters.FilterDecoratorWithImage.mFilterDecorator,3,Field,filters,FilterDecoratorWithImage,mFilterDecorator,FRAMEWORK,FALSE,FALSE,,TRUE,FALSE,,,public ,,FRAMEWORK,PLUGIN,null,4,1,false
filters.FilterDecorator,2,Class,filters,FilterDecorator,,FRAMEWORK,FALSE,FALSE,,FALSE,FALSE,filters.FilterDecorator; BttF says a method of a non-terminal class references it; this method cannot be hook;   THEN it also has to belong to FRAMEWORK   filters.FilterDecorator; BttF says a method of a non-terminal class references it; this method cannot be hook;   THEN it also has to belong to FRAMEWORK   ,,public abstract ,,FRAMEWORK,PLUGIN,null,16,1,false
filters.Filter,2,Class,filters,Filter,,FRAMEWORK,FALSE,TRUE,,FALSE,FALSE,filters.Filter; BttF says a method of a non-terminal class references it; this method cannot be hook;   THEN it also has to belong to FRAMEWORK   filters.Filter; BttF says a method of a non-terminal class references it; this method cannot be hook;   THEN it also has to belong to FRAMEWORK   filters.Filter; BttF says a method of a non-terminal class references it; this method cannot be hook;   THEN it also has to belong to FRAMEWORK   filters.Filter; BttF says a method of a non-terminal class references it; this method cannot be hook;   THEN it also has to belong to FRAMEWORK   filters.Filter; BttF says a method of a non-terminal class references it; this method cannot be hook;   THEN it also has to belong to FRAMEWORK   filters.Filter; BttF says a method of a non-terminal class references it; this method cannot be hook;   THEN it also has to belong to FRAMEWORK   filters.Filter; BttF says a method of a non-terminal class references it; this method cannot be hook;   THEN it also has to belong to FRAMEWORK   filters.Filter; BttF says a method of a non-terminal class references it; this method cannot be hook;   THEN it also has to belong to FRAMEWORK   filters.Filter; BttF says a method of a non-terminal class references it; this method cannot be hook;   THEN it also has to belong to FRAMEWORK   filters.Filter; BttF says a static method of a framework class references it; this method cannot be hook;  THEN it also has to belong to FRAMEWORK   filters.Filter; BttF says a static method of a framework class references it filters.Filter THEN it also has to belong to FRAMEWORK   filters.Filter; BttF says a method of a non-terminal class references it; this method cannot be hook;   THEN it also has to belong to FRAMEWORK   ,,public abstract ,,FRAMEWORK,FRAMEWORK,null,67,1,false
filters.FilterDecorator.applyFilter(Image image),4,Method,filters,FilterDecorator,applyFilter(Image image),FRAMEWORK,FALSE,FALSE,,TRUE,FALSE,,,protected ,applyFilter(Image),FRAMEWORK,PLUGIN,@Override,9,1,false
filters.Filter.applyFilter(Image imageEntity),4,Method,filters,Filter,applyFilter(Image imageEntity),FRAMEWORK,FALSE,FALSE,,TRUE,FALSE,filters.Filter.applyFilter(Image imageEntity); BttF says a method of a non-terminal class references it; this method cannot be hook;   THEN it also has to belong to FRAMEWORK   filters.Filter.applyFilter(Image imageEntity); BttF says a method of a non-terminal class references it; this method cannot be hook;   THEN it also has to belong to FRAMEWORK   ,,protected abstract ,applyFilter(Image),FRAMEWORK,FRAMEWORK,null,5,1,false
filters.FilterDecoratorWithImage.mImage,3,Field,filters,FilterDecoratorWithImage,mImage,FRAMEWORK,FALSE,FALSE,,TRUE,FALSE,,,public ,,FRAMEWORK,PLUGIN,null,4,1,false
filters.FilterDecoratorWithImage.FilterDecoratorWithImage(FilterDecorator filterDecorator; Image image),5,Constructor,filters,FilterDecoratorWithImage,FilterDecoratorWithImage(FilterDecorator filterDecorator; Image image),FRAMEWORK,FALSE,FALSE,,TRUE,FALSE,,,public ,FilterDecoratorWithImage(FilterDecorator; Image),FRAMEWORK,PLUGIN,null,8,1,false
filters.FilterDecoratorWithImage.run(),4,Method,filters,FilterDecoratorWithImage,run(),FRAMEWORK,FALSE,FALSE,,TRUE,FALSE,,,public ,run(),FRAMEWORK,PLUGIN,null,6,1,false
filters.Filter.filter(Image image),4,Method,filters,Filter,filter(Image image),FRAMEWORK,FALSE,FALSE,,TRUE,FALSE,filters.Filter.filter(Image image); BttF says a method of a non-terminal class references it; this method cannot be hook;   THEN it also has to belong to FRAMEWORK   ,,public ,filter(Image),FRAMEWORK,FRAMEWORK,null,12,1,false
filters.OutputFilterDecorator,2,Class,filters,OutputFilterDecorator,,FRAMEWORK,FALSE,TRUE,,TRUE,FALSE,filters.OutputFilterDecorator; BttF says a static method of a framework class references it; this method cannot be hook;  THEN it also has to belong to FRAMEWORK   filters.OutputFilterDecorator; BttF says a static method of a framework class references it filters.OutputFilterDecorator THEN it also has to belong to FRAMEWORK   ,,public ,,FRAMEWORK,FRAMEWORK,null,15,1,false
filters.OutputFilterDecorator.OutputFilterDecorator(Filter filter),5,Constructor,filters,OutputFilterDecorator,OutputFilterDecorator(Filter filter),FRAMEWORK,FALSE,FALSE,,TRUE,FALSE,,,public ,OutputFilterDecorator(Filter),FRAMEWORK,PLUGIN,null,9,1,false
filters.FilterDecorator.FilterDecorator(Filter filter),5,Constructor,filters,FilterDecorator,FilterDecorator(Filter filter),FRAMEWORK,FALSE,FALSE,,TRUE,FALSE,,,public ,FilterDecorator(Filter),FRAMEWORK,PLUGIN,null,8,1,false
filters.OutputFilterDecorator.decorate(Image image),4,Method,filters,OutputFilterDecorator,decorate(Image image),FRAMEWORK,FALSE,FALSE,,TRUE,FALSE,,,protected ,decorate(Image),FRAMEWORK,PLUGIN,@Override,36,1,false
filters.FilterDecorator.decorate(Image imageEntity),4,Method,filters,FilterDecorator,decorate(Image imageEntity),FRAMEWORK,FALSE,FALSE,,TRUE,FALSE,filters.FilterDecorator.decorate(Image imageEntity); BttF says a method of a non-terminal class references it; this method cannot be hook;   THEN it also has to belong to FRAMEWORK   ,,protected abstract ,decorate(Image),FRAMEWORK,PLUGIN,null,5,1,false
filters.Filter.getName(),4,Method,filters,Filter,getName(),FRAMEWORK,FALSE,FALSE,,TRUE,FALSE,filters.Filter.getName(); BttF says a method of a non-terminal class references it; this method cannot be hook;   THEN it also has to belong to FRAMEWORK   filters.Filter.getName(); BttF says a method of a non-terminal class references it; this method cannot be hook;   THEN it also has to belong to FRAMEWORK   ,,public ,getName(),FRAMEWORK,FRAMEWORK,null,6,1,false
filters.NullFilter,2,Class,filters,NullFilter,,FRAMEWORK,FALSE,FALSE,,TRUE,FALSE,,,public ,,FRAMEWORK,PLUGIN,null,15,1,false
filters.NullFilter.NullFilter(),5,Constructor,filters,NullFilter,NullFilter(),FRAMEWORK,FALSE,FALSE,,TRUE,FALSE,,,public ,NullFilter(),FRAMEWORK,PLUGIN,null,4,1,false
filters.Filter.Filter(),5,Constructor,filters,Filter,Filter(),FRAMEWORK,FALSE,FALSE,,TRUE,FALSE,,,public ,Filter(),FRAMEWORK,PLUGIN,null,7,1,false
filters.NullFilter.NullFilter(String name),5,Constructor,filters,NullFilter,NullFilter(String name),FRAMEWORK,FALSE,FALSE,,TRUE,FALSE,,,public ,NullFilter(String),FRAMEWORK,PLUGIN,null,7,1,false
filters.Filter.Filter(String filterName),5,Constructor,filters,Filter,Filter(String filterName),FRAMEWORK,FALSE,FALSE,,TRUE,FALSE,,,public ,Filter(String),FRAMEWORK,PLUGIN,null,6,1,false
filters.NullFilter.applyFilter(Image image),4,Method,filters,NullFilter,applyFilter(Image image),FRAMEWORK,FALSE,FALSE,,TRUE,FALSE,,,protected ,applyFilter(Image),FRAMEWORK,PLUGIN,@Override,9,1,false
filters.FilterDecorator.mFilter,3,Field,filters,FilterDecorator,mFilter,FRAMEWORK,FALSE,FALSE,,TRUE,FALSE,filters.FilterDecorator.mFilter; BttF says a method of a non-terminal class references it; this method cannot be hook;   THEN it also has to belong to FRAMEWORK   filters.FilterDecorator.mFilter; BttF says a method of a non-terminal class references it; this method cannot be hook;   THEN it also has to belong to FRAMEWORK   ,,protected ,,FRAMEWORK,PLUGIN,null,4,1,false
filters.GrayScaleFilter,2,Class,filters,GrayScaleFilter,,FRAMEWORK,FALSE,FALSE,,TRUE,FALSE,,,public ,,FRAMEWORK,PLUGIN,null,11,1,false
filters.GrayScaleFilter.GrayScaleFilter(),5,Constructor,filters,GrayScaleFilter,GrayScaleFilter(),FRAMEWORK,FALSE,FALSE,,TRUE,FALSE,,,public ,GrayScaleFilter(),FRAMEWORK,PLUGIN,null,4,1,false
filters.GrayScaleFilter.GrayScaleFilter(String name),5,Constructor,filters,GrayScaleFilter,GrayScaleFilter(String name),FRAMEWORK,FALSE,FALSE,,TRUE,FALSE,,,public ,GrayScaleFilter(String),FRAMEWORK,PLUGIN,null,12,1,false
filters.GrayScaleFilter.applyFilter(Image image),4,Method,filters,GrayScaleFilter,applyFilter(Image image),FRAMEWORK,FALSE,FALSE,,TRUE,FALSE,,,protected ,applyFilter(Image),FRAMEWORK,PLUGIN,@Override,50,1,false
filters.Filter.TAG,3,Field,filters,Filter,TAG,FRAMEWORK,FALSE,FALSE,,TRUE,FALSE,,,protected final static ,,FRAMEWORK,PLUGIN,null,4,1,false
filters.Filter.mName,3,Field,filters,Filter,mName,FRAMEWORK,FALSE,FALSE,,TRUE,FALSE,filters.Filter.mName; BttF says a method of a non-terminal class references it; this method cannot be hook;   THEN it also has to belong to FRAMEWORK   filters.Filter.mName; BttF says a method of a non-terminal class references it; this method cannot be hook;   THEN it also has to belong to FRAMEWORK   filters.Filter.mName; BttF says a method of a non-terminal class references it; this method cannot be hook;   THEN it also has to belong to FRAMEWORK   filters.Filter.mName; BttF says a method of a non-terminal class references it; this method cannot be hook;   THEN it also has to belong to FRAMEWORK   ,,protected ,,FRAMEWORK,PLUGIN,null,5,1,false
filters.Filter.setName(String filterName),4,Method,filters,Filter,setName(String filterName),FRAMEWORK,FALSE,FALSE,,TRUE,FALSE,,,public ,setName(String),FRAMEWORK,PLUGIN,null,6,1,false
streams.ImageStreamCompletableFuture1,2,Class,streams,ImageStreamCompletableFuture1,,PLUGIN,TRUE,FALSE,,TRUE,FALSE,,,public ,,FRAMEWORK,PLUGIN,null,14,2,false
streams,1,Package,streams,,,FRAMEWORK,FALSE,FALSE,,TRUE,FALSE,,,,,FRAMEWORK,PLUGIN,null,0,3,false
streams.ImageStreamCompletableFutureBase,2,Class,streams,ImageStreamCompletableFutureBase,,PLUGIN,TRUE,FALSE,,FALSE,FALSE,,,public abstract ,,FRAMEWORK,PLUGIN,null,42,2,false
streams.ImageStreamCompletableFuture1.ImageStreamCompletableFuture1(Filter[] filters; Iterator<List<URL>> urlListIterator),5,Constructor,streams,ImageStreamCompletableFuture1,ImageStreamCompletableFuture1(Filter[] filters; Iterator<List<URL>> urlListIterator),PLUGIN,TRUE,TRUE,,TRUE,FALSE,streams.ImageStreamCompletableFuture1.ImageStreamCompletableFuture1(Filter[] filters; Iterator<List<URL>> urlListIterator); BttF says it's a child of streams.ImageStreamCompletableFuture1 THEN it also is fprivate of PLUGIN   ,,public ,ImageStreamCompletableFuture1(Filter[]; Iterator<List<URL>>),PLUGIN,PLUGIN,null,7,2,false
