Identifier,TypeID,Type,Package,Class,Member,Feature,Is_fprivate?,Is_inferred?,Parent_features,Is_terminal?,Is_hook?,Inferences,User_comment,Member_modifier,Method_Signature,Earliest_bound,Latest_bound,CodeAnnotation,LOC,FWBelongLevel,NeedsLocalConstructor
example.imagetaskgang.Options,2,Class,example.imagetaskgang,Options,,PLUGIN,TRUE,FALSE,,TRUE,FALSE,,,public ,,FRAMEWORK,PLUGIN,null,118,2,false
example.imagetaskgang,1,Package,example.imagetaskgang,,,FRAMEWORK,FALSE,FALSE,,TRUE,FALSE,,,,,FRAMEWORK,PLUGIN,null,0,3,false
example.imagetaskgang.Options.mUniqueInstance,3,Field,example.imagetaskgang,Options,mUniqueInstance,PLUGIN,TRUE,TRUE,,TRUE,FALSE,example.imagetaskgang.Options.mUniqueInstance; BttF says it's a child of example.imagetaskgang.Options THEN it also is fprivate of PLUGIN   ,,private static ,,PLUGIN,PLUGIN,null,2,2,false
example.imagetaskgang.Options.mPathname,3,Field,example.imagetaskgang,Options,mPathname,PLUGIN,TRUE,TRUE,,TRUE,FALSE,example.imagetaskgang.Options.mPathname; BttF says it's a child of example.imagetaskgang.Options THEN it also is fprivate of PLUGIN   ,,private ,,PLUGIN,PLUGIN,null,4,2,false
example.imagetaskgang.Options.mSeparator,3,Field,example.imagetaskgang,Options,mSeparator,PLUGIN,TRUE,TRUE,,TRUE,FALSE,example.imagetaskgang.Options.mSeparator; BttF says it's a child of example.imagetaskgang.Options THEN it also is fprivate of PLUGIN   ,,private ,,PLUGIN,PLUGIN,null,5,2,false
example.imagetaskgang.Options.mInputSource,3,Field,example.imagetaskgang,Options,mInputSource,PLUGIN,TRUE,TRUE,,TRUE,FALSE,example.imagetaskgang.Options.mInputSource; BttF says it's a child of example.imagetaskgang.Options THEN it also is fprivate of PLUGIN   ,,private ,,PLUGIN,PLUGIN,null,5,2,false
example.imagetaskgang.Options.mDiagnosticsEnabled,3,Field,example.imagetaskgang,Options,mDiagnosticsEnabled,PLUGIN,TRUE,TRUE,,TRUE,FALSE,example.imagetaskgang.Options.mDiagnosticsEnabled; BttF says it's a child of example.imagetaskgang.Options THEN it also is fprivate of PLUGIN   ,,public ,,PLUGIN,PLUGIN,null,5,2,false
example.imagetaskgang.Options.instance(),4,Method,example.imagetaskgang,Options,instance(),PLUGIN,FALSE,TRUE,,TRUE,FALSE,example.imagetaskgang.Options.instance(); BttF says since it calls fprivate example.imagetaskgang.Options.mUniqueInstance THEN it also belongs to PLUGIN   ,,public static ,instance(),PLUGIN,PLUGIN,null,9,2,false
example.imagetaskgang.Options.getURLFilePathname(),4,Method,example.imagetaskgang,Options,getURLFilePathname(),PLUGIN,FALSE,TRUE,,TRUE,FALSE,example.imagetaskgang.Options.getURLFilePathname(); BttF says since it calls fprivate example.imagetaskgang.Options.mPathname THEN it also belongs to PLUGIN   ,,public ,getURLFilePathname(),PLUGIN,PLUGIN,null,6,2,false
example.imagetaskgang.Options.getSeparator(),4,Method,example.imagetaskgang,Options,getSeparator(),PLUGIN,FALSE,TRUE,,TRUE,FALSE,example.imagetaskgang.Options.getSeparator(); BttF says since it calls fprivate example.imagetaskgang.Options.mSeparator THEN it also belongs to PLUGIN   ,,public ,getSeparator(),PLUGIN,PLUGIN,null,7,2,false
example.imagetaskgang.Options.getInputSource(),4,Method,example.imagetaskgang,Options,getInputSource(),PLUGIN,FALSE,TRUE,,TRUE,FALSE,example.imagetaskgang.Options.getInputSource(); BttF says since it calls fprivate example.imagetaskgang.Options.mInputSource THEN it also belongs to PLUGIN   ,,public ,getInputSource(),PLUGIN,PLUGIN,null,6,2,false
example.imagetaskgang.Options.diagnosticsEnabled(),4,Method,example.imagetaskgang,Options,diagnosticsEnabled(),PLUGIN,FALSE,TRUE,,TRUE,FALSE,example.imagetaskgang.Options.diagnosticsEnabled(); BttF says since it calls fprivate example.imagetaskgang.Options.mDiagnosticsEnabled THEN it also belongs to PLUGIN   ,,public ,diagnosticsEnabled(),PLUGIN,PLUGIN,null,6,2,false
