Identifier,TypeID,Type,Package,Class,Member,Feature,Is_fprivate?,Is_inferred?,Parent_features,Is_terminal,Is_hook?,Inferences,,
Errors.NoValueSet,2,Class,Errors,NoValueSet,,PLUGIN,TRUE,FALSE,,,FALSE,,,
Errors,1,Package,Errors,,,FRAMEWORK,FALSE,FALSE,,,FALSE,,,
Errors.NoValueSet.NoValueSet(String error),4,Constructor,Errors,NoValueSet,NoValueSet(String error),PLUGIN,TRUE,FALSE,,,FALSE,,,
Errors.NoTableFound,2,Class,Errors,NoTableFound,,PLUGIN,TRUE,FALSE,,,FALSE,,,
Errors.NoTableFound.NoTableFound(String error),4,Constructor,Errors,NoTableFound,NoTableFound(String error),PLUGIN,TRUE,FALSE,,,FALSE,,,
Errors.PinAlreadySet,2,Class,Errors,PinAlreadySet,,FRAMEWORK,FALSE,FALSE,,,FALSE,,,
Errors.PinAlreadySet.PinAlreadySet(String error),4,Constructor,Errors,PinAlreadySet,PinAlreadySet(String error),FRAMEWORK,FALSE,FALSE,,,FALSE,,,
Errors.ValueAlreadySet,2,Class,Errors,ValueAlreadySet,,PLUGIN,TRUE,FALSE,,,FALSE,,,
Errors.ValueAlreadySet.ValueAlreadySet(String error),4,Constructor,Errors,ValueAlreadySet,ValueAlreadySet(String error),PLUGIN,TRUE,FALSE,,,FALSE,,,
Errors.NoPinFound,2,Class,Errors,NoPinFound,,FRAMEWORK,FALSE,FALSE,,,FALSE,,,
Errors.NoPinFound.NoPinFound(String error),4,Constructor,Errors,NoPinFound,NoPinFound(String error),FRAMEWORK,FALSE,FALSE,,,FALSE,,,
GatesApp.Feature.base,3,Field,GatesApp,Feature,base,FRAMEWORK,FALSE,FALSE,,,FALSE,,,
GatesApp.Feature,2,Class,GatesApp,Feature,,FRAMEWORK,FALSE,FALSE,,,FALSE,,,
GatesApp.Feature.tables,3,Field,GatesApp,Feature,tables,PLUGIN,TRUE,FALSE,,,FALSE,,,
GatesApp.Feature.constraints,3,Field,GatesApp,Feature,constraints,PLUGIN,TRUE,FALSE,,,FALSE,,,
GatesApp.Feature.eval,3,Field,GatesApp,Feature,eval,PLUGIN,TRUE,FALSE,,,FALSE,,,
GatesApp.Main,2,Class,GatesApp,Main,,FRAMEWORK,FALSE,FALSE,,,FALSE,,,
GatesApp,1,Package,GatesApp,,,FRAMEWORK,FALSE,FALSE,,,FALSE,,,
GatesApp.Main.main,4,Method,GatesApp,Main,main,,FALSE,FALSE,,,FALSE,,,
GatesApp.Main.aCircuit,4,Method,GatesApp,Main,aCircuit,PLUGIN,FALSE,TRUE,,,FALSE,GatesApp.Main.aCircuit calls fprivate GatesApp.Feature.constraints THEN it also belongs to PLUGIN   ,,
GatesApp.Value,2,Class,GatesApp,Value,,PLUGIN,TRUE,FALSE,,,FALSE,,,
GatesApp.Value.TRUE,3,Field,GatesApp,Value,TRUE,PLUGIN,TRUE,FALSE,,,FALSE,,,
GatesApp.Value.FALSE,3,Field,GatesApp,Value,FALSE,PLUGIN,TRUE,FALSE,,,FALSE,,,
GatesApp.MainTest,2,Class,GatesApp,MainTest,,FRAMEWORK,FALSE,FALSE,,,FALSE,,,
GatesApp.MainTest.MainTest(),4,Constructor,GatesApp,MainTest,MainTest(),,FALSE,FALSE,,,FALSE,,,
GatesApp.MainTest.h2Example,4,Method,GatesApp,MainTest,h2Example,PLUGIN,FALSE,TRUE,,,FALSE,GatesApp.MainTest.h2Example calls fprivate GatesApp.Feature.constraints THEN it also belongs to PLUGIN   ,,
GatesApp.MainTest.aEQb,4,Method,GatesApp,MainTest,aEQb,PLUGIN,FALSE,TRUE,,,FALSE,GatesApp.MainTest.aEQb calls fprivate GatesApp.Feature.constraints THEN it also belongs to PLUGIN   ,,
GatesApp.MainTest.aNEb,4,Method,GatesApp,MainTest,aNEb,PLUGIN,FALSE,TRUE,,,FALSE,GatesApp.MainTest.aNEb calls fprivate GatesApp.Feature.constraints THEN it also belongs to PLUGIN   ,,
GatesApp.Value.Value,4,Constructor,GatesApp,Value,Value,PLUGIN,TRUE,FALSE,,,FALSE,,,
GatesApp.Value.UNKNOWN,3,Field,GatesApp,Value,UNKNOWN,PLUGIN,TRUE,FALSE,,,FALSE,,,
Pins.InputPin,2,Class,Pins,InputPin,,FRAMEWORK,FALSE,FALSE,,,FALSE,,,
Pins,1,Package,Pins,,,FRAMEWORK,FALSE,FALSE,,,FALSE,,,
Pins.InputPin.name,3,Field,Pins,InputPin,name,FRAMEWORK,FALSE,FALSE,,,FALSE,,,
Pins.InputPin.inputOf,3,Field,Pins,InputPin,inputOf,FRAMEWORK,FALSE,FALSE,,,FALSE,,,
Pins.InputPin.wireFrom,3,Field,Pins,InputPin,wireFrom,FRAMEWORK,FALSE,FALSE,,,FALSE,,,
Pins.InputPin.InputPin(String name; Gate parent),4,Constructor,Pins,InputPin,InputPin(String name; Gate parent),FRAMEWORK,FALSE,FALSE,,,FALSE,,,
Pins.InputPin.addWire,4,Method,Pins,InputPin,addWire,FRAMEWORK,FALSE,FALSE,,,FALSE,,,
Pins.OutputPin,2,Class,Pins,OutputPin,,FRAMEWORK,FALSE,FALSE,,,FALSE,,,
Pins.OutputPin.name,3,Field,Pins,OutputPin,name,FRAMEWORK,FALSE,FALSE,,,FALSE,,,
Pins.InputPin.toString,4,Method,Pins,InputPin,toString,FRAMEWORK,FALSE,FALSE,,,FALSE,,,
Pins.InputPin.isUsed,4,Method,Pins,InputPin,isUsed,PLUGIN,FALSE,TRUE,,,FALSE,Pins.InputPin.isUsed calls fprivate GatesApp.Feature.constraints THEN it also belongs to PLUGIN   ,,
Pins.InputPin.nameOfGate,4,Method,Pins,InputPin,nameOfGate,FRAMEWORK,FALSE,FALSE,,,FALSE,,,
Pins.InputPin.getValue,4,Method,Pins,InputPin,getValue,PLUGIN,TRUE,TRUE,,,FALSE,Pins.InputPin.getValue calls fprivate GatesApp.Feature.eval THEN it also belongs to PLUGIN   ,,
Pins.OutputPin.value,3,Field,Pins,OutputPin,value,PLUGIN,TRUE,FALSE,,,FALSE,,,
Pins.OutputPin.outputOf,3,Field,Pins,OutputPin,outputOf,FRAMEWORK,FALSE,FALSE,,,FALSE,,,
Pins.OutputPin.wiresFrom,3,Field,Pins,OutputPin,wiresFrom,FRAMEWORK,FALSE,FALSE,,,FALSE,,,
Pins.OutputPin.OutputPin(String name; Gate parent),4,Constructor,Pins,OutputPin,OutputPin(String name; Gate parent),,FALSE,FALSE,,,TRUE,Pins.OutputPin.OutputPin(String name, Gate parent) is hook because calls element(s) classified in future features   Hook Pins.OutputPin.OutputPin(String name, Gate parent) calls fprivate elements information about its feature to be determined.   
Pins.OutputPin.addWire,4,Method,Pins,OutputPin,addWire,FRAMEWORK,FALSE,FALSE,,,FALSE,,,
Pins.OutputPin.toString,4,Method,Pins,OutputPin,toString,FRAMEWORK,FALSE,FALSE,,,FALSE,,,
Pins.OutputPin.nameOfGate,4,Method,Pins,OutputPin,nameOfGate,FRAMEWORK,FALSE,FALSE,,,FALSE,,,
Pins.OutputPin.isUsed,4,Method,Pins,OutputPin,isUsed,PLUGIN,FALSE,TRUE,,,FALSE,Pins.OutputPin.isUsed calls fprivate GatesApp.Feature.constraints THEN it also belongs to PLUGIN   ,,
Pins.OutputPin.getValue,4,Method,Pins,OutputPin,getValue,PLUGIN,TRUE,TRUE,,,FALSE,Pins.OutputPin.getValue calls fprivate GatesApp.Feature.eval THEN it also belongs to PLUGIN   ,,
RegTest.Utility,2,Class,RegTest,Utility,,FRAMEWORK,FALSE,FALSE,,,FALSE,,,
RegTest,1,Package,RegTest,,,FRAMEWORK,FALSE,FALSE,,,FALSE,,,
RegTest.Utility.autopsy,3,Field,RegTest,Utility,autopsy,FRAMEWORK,FALSE,FALSE,,,FALSE,,,
RegTest.Utility.Utility(),4,Constructor,RegTest,Utility,Utility(),FRAMEWORK,FALSE,FALSE,,,FALSE,,,
RegTest.Utility.sortFile,4,Method,RegTest,Utility,sortFile,FRAMEWORK,FALSE,FALSE,,,FALSE,,,
RegTest.Utility.compareFiles,4,Method,RegTest,Utility,compareFiles,FRAMEWORK,FALSE,FALSE,,,FALSE,,,
RegTest.Utility.originalErr,3,Field,RegTest,Utility,originalErr,FRAMEWORK,FALSE,FALSE,,,FALSE,,,
RegTest.Utility.originalOut,3,Field,RegTest,Utility,originalOut,FRAMEWORK,FALSE,FALSE,,,FALSE,,,
RegTest.Utility.outfile,3,Field,RegTest,Utility,outfile,FRAMEWORK,FALSE,FALSE,,,FALSE,,,
RegTest.Utility.errfile,3,Field,RegTest,Utility,errfile,FRAMEWORK,FALSE,FALSE,,,FALSE,,,
RegTest.Utility.init,4,Method,RegTest,Utility,init,FRAMEWORK,FALSE,FALSE,,,FALSE,,,
RegTest.Utility.redirectStdOut,4,Method,RegTest,Utility,redirectStdOut,FRAMEWORK,FALSE,FALSE,,,FALSE,,,
RegTest.Utility.redirectStdErr,4,Method,RegTest,Utility,redirectStdErr,FRAMEWORK,FALSE,FALSE,,,FALSE,,,
RegTest.Utility.sortedOut,3,Field,RegTest,Utility,sortedOut,FRAMEWORK,FALSE,FALSE,,,FALSE,,,
RegTest.Utility.sortedCorrect,3,Field,RegTest,Utility,sortedCorrect,FRAMEWORK,FALSE,FALSE,,,FALSE,,,
RegTest.Utility.done,4,Method,RegTest,Utility,done,FRAMEWORK,FALSE,FALSE,,,FALSE,,,
RegTest.Utility.validate,4,Method,RegTest,Utility,validate,FRAMEWORK,FALSE,FALSE,,,FALSE,,,
logicGates.Wire,2,Class,logicGates,Wire,,FRAMEWORK,FALSE,FALSE,,,FALSE,,,
logicGates,1,Package,logicGates,,,FRAMEWORK,FALSE,FALSE,,,FALSE,,,
logicGates.Printable,2,Class,logicGates,Printable,,FRAMEWORK,FALSE,FALSE,,,FALSE,,,
logicGates.Wire.print,4,Method,logicGates,Wire,print,PLUGIN,TRUE,FALSE,,,FALSE,,,
logicGates.Printable.print,4,Method,logicGates,Printable,print,PLUGIN,TRUE,FALSE,,,FALSE,,,
logicGates.Wire.i,3,Field,logicGates,Wire,i,FRAMEWORK,FALSE,FALSE,,,FALSE,,,
logicGates.Wire.o,3,Field,logicGates,Wire,o,FRAMEWORK,FALSE,FALSE,,,FALSE,,,
logicGates.Wire.Wire(OutputPin o; InputPin i),4,Constructor,logicGates,Wire,Wire(OutputPin o; InputPin i),PLUGIN,TRUE,TRUE,,,FALSE,logicGates.Wire.Wire(OutputPin o, InputPin i) calls fprivate logicGates.Wire.table THEN it also belongs to PLUGIN   ,
logicGates.Wire.table,3,Field,logicGates,Wire,table,PLUGIN,TRUE,FALSE,,,FALSE,,,
logicGates.Wire.Wire(InputPort o; Gate i; String name),4,Constructor,logicGates,Wire,Wire(InputPort o; Gate i; String name),PLUGIN,TRUE,FALSE,,,FALSE,,,
logicGates.InputPort,2,Class,logicGates,InputPort,,FRAMEWORK,FALSE,FALSE,,,FALSE,,,
logicGates.Gate,2,Class,logicGates,Gate,,FRAMEWORK,FALSE,FALSE,,,FALSE,,,
logicGates.InputPort.InputPort,4,Constructor,logicGates,InputPort,InputPort,FRAMEWORK,FALSE,FALSE,,,FALSE,,,
logicGates.Gate.Gate,4,Constructor,logicGates,Gate,Gate,FRAMEWORK,FALSE,FALSE,,,FALSE,,,
logicGates.InputPort.getValue,4,Method,logicGates,InputPort,getValue,PLUGIN,TRUE,FALSE,,,FALSE,,,
logicGates.Gate.getValue,4,Method,logicGates,Gate,getValue,PLUGIN,TRUE,TRUE,,,FALSE,logicGates.Gate.getValue calls fprivate GatesApp.Feature.eval THEN it also belongs to PLUGIN   ,,
logicGates.Gate.print,4,Method,logicGates,Gate,print,PLUGIN,TRUE,TRUE,,,FALSE,logicGates.Gate.print calls fprivate logicGates.Printable.print THEN it also belongs to PLUGIN   ,,
logicGates.InputPort.getOutput,4,Method,logicGates,InputPort,getOutput,FRAMEWORK,FALSE,FALSE,,,FALSE,,,
logicGates.Gate.getInput,4,Method,logicGates,Gate,getInput,FRAMEWORK,FALSE,FALSE,,,FALSE,,,
logicGates.Wire.Wire(Gate from; String frompin; Gate to; String topin),4,Constructor,logicGates,Wire,Wire(Gate from; String frompin; Gate to; String topin),PLUGIN,TRUE,FALSE,,,FALSE,,,
logicGates.Gate.getOutput,4,Method,logicGates,Gate,getOutput,FRAMEWORK,FALSE,FALSE,,,FALSE,,,
logicGates.Wire.Wire(Gate from; Gate to; String topin),4,Constructor,logicGates,Wire,Wire(Gate from; Gate to; String topin),PLUGIN,TRUE,FALSE,,,FALSE,,,
logicGates.Wire.Wire(Gate from; OutputPort port),4,Constructor,logicGates,Wire,Wire(Gate from; OutputPort port),PLUGIN,TRUE,FALSE,,,FALSE,,,
logicGates.OutputPort,2,Class,logicGates,OutputPort,,FRAMEWORK,FALSE,FALSE,,,FALSE,,,
logicGates.OutputPort.OutputPort,4,Constructor,logicGates,OutputPort,OutputPort,FRAMEWORK,FALSE,FALSE,,,FALSE,,,
logicGates.OutputPort.getValue,4,Method,logicGates,OutputPort,getValue,PLUGIN,TRUE,TRUE,,,FALSE,logicGates.OutputPort.getValue calls fprivate GatesApp.Feature.eval THEN it also belongs to PLUGIN   ,,
logicGates.OutputPort.getInput,4,Method,logicGates,OutputPort,getInput,FRAMEWORK,FALSE,FALSE,,,FALSE,,,
logicGates.Wire.resetTable,4,Method,logicGates,Wire,resetTable,PLUGIN,TRUE,FALSE,,,FALSE,,,
logicGates.Wire.getTable,4,Method,logicGates,Wire,getTable,PLUGIN,TRUE,FALSE,,,FALSE,,,
logicGates.Wire.isUsed,4,Method,logicGates,Wire,isUsed,PLUGIN,FALSE,TRUE,,,FALSE,logicGates.Wire.isUsed calls fprivate GatesApp.Feature.constraints THEN it also belongs to PLUGIN   ,,
