Identifier,TypeID,Type,Package,Class,Member,Feature,Is_fprivate?,Is_inferred?,Parent_features,Is_terminal?,Is_hook?,Inferences
Errors.NoValueSet,2,Class,Errors,NoValueSet,,EVAL,FALSE,FALSE,,TRUE,FALSE,
Errors,1,Package,Errors,,,BASE,FALSE,FALSE,,TRUE,FALSE,
Errors.NoValueSet.NoValueSet(String error),5,Constructor,Errors,NoValueSet,NoValueSet,EVAL,FALSE,FALSE,,TRUE,FALSE,
Errors.NoTableFound,2,Class,Errors,NoTableFound,,TABLE,FALSE,FALSE,,TRUE,FALSE,
Errors.NoTableFound.NoTableFound(String error),5,Constructor,Errors,NoTableFound,NoTableFound,TABLE,FALSE,FALSE,,TRUE,FALSE,
Errors.PinAlreadySet,2,Class,Errors,PinAlreadySet,,BASE,FALSE,FALSE,,TRUE,FALSE,
Errors.PinAlreadySet.PinAlreadySet(String error),5,Constructor,Errors,PinAlreadySet,PinAlreadySet,BASE,FALSE,FALSE,,TRUE,FALSE,
Errors.ValueAlreadySet,2,Class,Errors,ValueAlreadySet,,EVAL,FALSE,FALSE,,TRUE,FALSE,
Errors.ValueAlreadySet.ValueAlreadySet(String error),5,Constructor,Errors,ValueAlreadySet,ValueAlreadySet,EVAL,FALSE,FALSE,,TRUE,FALSE,
Errors.NoPinFound,2,Class,Errors,NoPinFound,,BASE,FALSE,FALSE,,TRUE,FALSE,
Errors.NoPinFound.NoPinFound(String error),5,Constructor,Errors,NoPinFound,NoPinFound,BASE,FALSE,FALSE,,TRUE,FALSE,
GatesApp.Feature.base,3,Field,GatesApp,Feature,base,BASE,FALSE,FALSE,,TRUE,FALSE,
GatesApp.Feature,2,Class,GatesApp,Feature,,BASE,FALSE,FALSE,,TRUE,FALSE,
GatesApp.Feature.tables,3,Field,GatesApp,Feature,tables,TABLE,FALSE,FALSE,,TRUE,FALSE,
GatesApp.Feature.constraints,3,Field,GatesApp,Feature,constraints,CONSTRAINT,FALSE,FALSE,,TRUE,FALSE,
GatesApp.Feature.eval,3,Field,GatesApp,Feature,eval,EVAL,FALSE,FALSE,,TRUE,FALSE,
GatesApp.Main,2,Class,GatesApp,Main,,BASE,FALSE,FALSE,,TRUE,FALSE,
GatesApp,1,Package,GatesApp,,,BASE,FALSE,FALSE,,TRUE,FALSE,
GatesApp.Main.main(String[] args),4,Method,GatesApp,Main,main,BASE,FALSE,FALSE,,TRUE,FALSE,
GatesApp.Main.aCircuit(),4,Method,GatesApp,Main,aCircuit,EVAL,FALSE,FALSE,,TRUE,FALSE,
GatesApp.Value,2,Class,GatesApp,Value,,EVAL,FALSE,FALSE,,TRUE,FALSE,
GatesApp.Value.TRUE,3,Field,GatesApp,Value,TRUE,EVAL,FALSE,FALSE,,TRUE,FALSE,
