Identifier,TypeID,Type,Package,Class,Member,Feature,Is_fprivate?,Is_inferred?,Parent_features,Is_terminal?,Is_hook?,Inferences
mixin,1,Package,mixin,,,kernel,FALSE,FALSE,,TRUE,FALSE,package must be kernel
mixin.ComposeAntTask,2,Class,mixin,ComposeAntTask,,antCompose,TRUE,FALSE,,TRUE,FALSE,AHEAD assigned initial feature and modifier
mixin.ComposeAntTask.SourceFile,2,Class,mixin.ComposeAntTask,SourceFile,,antCompose,TRUE,FALSE,,TRUE,FALSE,belongs to antCompose and is fprivate
mixin.JTSParseTree,2,Class,mixin,JTSParseTree,,CommonBase,FALSE,FALSE,,TRUE,FALSE,AHEAD assigned initial feature and modifier
mixin.AstToken,2,Class,mixin,AstToken,,kernel,FALSE,FALSE,,TRUE,FALSE,AHEAD assigned initial feature and modifier
mixin.AstTokenInterface,2,Class,mixin,AstTokenInterface,,kernel,FALSE,FALSE,,TRUE,FALSE,AHEAD assigned initial feature and modifier
mixin.AstNode,2,Class,mixin,AstNode,,kernel,FALSE,FALSE,,FALSE,FALSE,AHEAD assigned initial feature and modifier
mixin.AstListNode,2,Class,mixin,AstListNode,,kernel,FALSE,FALSE,,FALSE,FALSE,AHEAD assigned initial feature and modifier
mixin.AstList,2,Class,mixin,AstList,,kernel,FALSE,FALSE,,FALSE,FALSE,AHEAD assigned initial feature and modifier
mixin.AstOptNode,2,Class,mixin,AstOptNode,,kernel,FALSE,FALSE,,TRUE,FALSE,AHEAD assigned initial feature and modifier
mixin.R4Feature,2,Class,mixin,R4Feature,,kernel,FALSE,FALSE,,TRUE,FALSE,R4Feature and its members belong to kernel
mixin.kernelConstants,2,Class,mixin,kernelConstants,,kernel,FALSE,FALSE,,TRUE,FALSE,AHEAD assigned initial feature and modifier
mixin.AstProperties,2,Class,mixin,AstProperties,,kernel,FALSE,FALSE,,TRUE,FALSE,AHEAD assigned initial feature and modifier
mixin.CommandLineArg,2,Class,mixin,CommandLineArg,,kernel,FALSE,FALSE,,FALSE,FALSE,AHEAD assigned initial feature and modifier
mixin.Parser,2,Class,mixin,Parser,,kernel,FALSE,FALSE,,TRUE,FALSE,AHEAD assigned initial feature and modifier
