Identifier,TypeID,Type,Package,Class,Member,Feature,Is_fprivate?,Is_inferred?,Parent_features,Is_terminal?,Is_hook?,Inferences
mixin.TransitionDecl,2,Class,mixin,TransitionDecl,,SYNTAX,TRUE,FALSE,,TRUE,FALSE,
mixin,1,Package,mixin,,,KERNEL,FALSE,FALSE,,TRUE,FALSE,
mixin.Es,2,Class,mixin,Es,,SYNTAX,TRUE,FALSE,,FALSE,FALSE,
mixin.TransitionDecl.ARG_LENGTH,3,Field,mixin,TransitionDecl,ARG_LENGTH,SYNTAX,TRUE,TRUE,,TRUE,FALSE,mixin.TransitionDecl.ARG_LENGTH is a child of mixin.TransitionDecl THEN it also is fprivate of SYNTAX   
mixin.TransitionDecl.TOK_LENGTH,3,Field,mixin,TransitionDecl,TOK_LENGTH,SYNTAX,TRUE,TRUE,,TRUE,FALSE,mixin.TransitionDecl.TOK_LENGTH is a child of mixin.TransitionDecl THEN it also is fprivate of SYNTAX   
mixin.TransitionDecl.getARROW(),4,Method,mixin,TransitionDecl,getARROW(),SYNTAX,TRUE,TRUE,,TRUE,FALSE,mixin.TransitionDecl.getARROW() is a child of mixin.TransitionDecl THEN it also is fprivate of SYNTAX   
mixin.AstToken,2,Class,mixin,AstToken,,KERNEL,FALSE,FALSE,,TRUE,FALSE,
mixin.AstNode,2,Class,mixin,AstNode,,KERNEL,FALSE,FALSE,,FALSE,FALSE,
mixin.AstTokenInterface,2,Class,mixin,AstTokenInterface,,KERNEL,FALSE,FALSE,,FALSE,FALSE,
mixin.AstNode.tok,3,Field,mixin,AstNode,tok,KERNEL,FALSE,FALSE,,TRUE,FALSE,
mixin.TransitionDecl.getAST_Exp(),4,Method,mixin,TransitionDecl,getAST_Exp(),SYNTAX,TRUE,TRUE,,TRUE,FALSE,mixin.TransitionDecl.getAST_Exp() is a child of mixin.TransitionDecl THEN it also is fprivate of SYNTAX   
mixin.AST_Exp,2,Class,mixin,AST_Exp,,SYNTAX,FALSE,FALSE,,FALSE,FALSE,
mixin.AstNode.arg,3,Field,mixin,AstNode,arg,KERNEL,FALSE,FALSE,,TRUE,FALSE,
mixin.TransitionDecl.getBlock(),4,Method,mixin,TransitionDecl,getBlock(),SYNTAX,TRUE,TRUE,,TRUE,FALSE,mixin.TransitionDecl.getBlock() is a child of mixin.TransitionDecl THEN it also is fprivate of SYNTAX   
mixin.Block,2,Class,mixin,Block,,SYNTAX,TRUE,FALSE,,FALSE,FALSE,
mixin.TransitionDecl.getCONDITION(),4,Method,mixin,TransitionDecl,getCONDITION(),SYNTAX,TRUE,TRUE,,TRUE,FALSE,mixin.TransitionDecl.getCONDITION() is a child of mixin.TransitionDecl THEN it also is fprivate of SYNTAX   
mixin.TransitionDecl.getDO(),4,Method,mixin,TransitionDecl,getDO(),SYNTAX,TRUE,TRUE,,TRUE,FALSE,mixin.TransitionDecl.getDO() is a child of mixin.TransitionDecl THEN it also is fprivate of SYNTAX   
mixin.TransitionDecl.getEDGE(),4,Method,mixin,TransitionDecl,getEDGE(),SYNTAX,TRUE,TRUE,,TRUE,FALSE,mixin.TransitionDecl.getEDGE() is a child of mixin.TransitionDecl THEN it also is fprivate of SYNTAX   
mixin.TransitionDecl.getQName(),4,Method,mixin,TransitionDecl,getQName(),SYNTAX,TRUE,TRUE,,TRUE,FALSE,mixin.TransitionDecl.getQName() is a child of mixin.TransitionDecl THEN it also is fprivate of SYNTAX   
mixin.QName,2,Class,mixin,QName,,SYNTAX,FALSE,FALSE,,FALSE,FALSE,
mixin.TransitionDecl.getStartName(),4,Method,mixin,TransitionDecl,getStartName(),SYNTAX,TRUE,TRUE,,TRUE,FALSE,mixin.TransitionDecl.getStartName() is a child of mixin.TransitionDecl THEN it also is fprivate of SYNTAX   
mixin.StartName,2,Class,mixin,StartName,,SYNTAX,TRUE,FALSE,,FALSE,FALSE,
mixin.TransitionDecl.printorder(),4,Method,mixin,TransitionDecl,printorder(),SYNTAX,TRUE,TRUE,,TRUE,FALSE,mixin.TransitionDecl.printorder() is a child of mixin.TransitionDecl THEN it also is fprivate of SYNTAX   
mixin.TransitionDecl.setParms(AstToken tok0; QName arg0; AstToken tok1; StartName arg1; AstToken tok2; QName arg2; AstToken tok3; AST_Exp arg3; AstToken tok4; Block arg4),4,Method,mixin,TransitionDecl,setParms(AstToken tok0; QName arg0; AstToken tok1; StartName arg1; AstToken tok2; QName arg2; AstToken tok3; AST_Exp arg3; AstToken tok4; Block arg4),SYNTAX,TRUE,TRUE,,TRUE,FALSE,mixin.TransitionDecl.setParms(AstToken tok0; QName arg0; AstToken tok1; StartName arg1; AstToken tok2; QName arg2; AstToken tok3; AST_Exp arg3; AstToken tok4; Block arg4) calls fprivate mixin.TransitionDecl.ARG_LENGTH THEN it also belongs to SYNTAX   
mixin.AstNode.InitChildren(),4,Method,mixin,AstNode,InitChildren(),KERNEL,FALSE,FALSE,,TRUE,FALSE,
mixin.CastExpr2,2,Class,mixin,CastExpr2,,SYNTAX,TRUE,FALSE,,TRUE,FALSE,
mixin.CastExpression,2,Class,mixin,CastExpression,,SYNTAX,TRUE,FALSE,,FALSE,FALSE,
mixin.CastExpr2.ARG_LENGTH,3,Field,mixin,CastExpr2,ARG_LENGTH,SYNTAX,TRUE,TRUE,,TRUE,FALSE,mixin.CastExpr2.ARG_LENGTH is a child of mixin.CastExpr2 THEN it also is fprivate of SYNTAX   
mixin.CastExpr2.TOK_LENGTH,3,Field,mixin,CastExpr2,TOK_LENGTH,SYNTAX,TRUE,TRUE,,TRUE,FALSE,mixin.CastExpr2.TOK_LENGTH is a child of mixin.CastExpr2 THEN it also is fprivate of SYNTAX   
mixin.CastExpr2.getAST_TypeName(),4,Method,mixin,CastExpr2,getAST_TypeName(),SYNTAX,TRUE,TRUE,,TRUE,FALSE,mixin.CastExpr2.getAST_TypeName() is a child of mixin.CastExpr2 THEN it also is fprivate of SYNTAX   
mixin.AST_TypeName,2,Class,mixin,AST_TypeName,,SYNTAX,FALSE,FALSE,,FALSE,FALSE,
mixin.CastExpr2.getUnaryExpressionNotPlusMinus(),4,Method,mixin,CastExpr2,getUnaryExpressionNotPlusMinus(),SYNTAX,TRUE,TRUE,,TRUE,FALSE,mixin.CastExpr2.getUnaryExpressionNotPlusMinus() is a child of mixin.CastExpr2 THEN it also is fprivate of SYNTAX   
mixin.UnaryExpressionNotPlusMinus,2,Class,mixin,UnaryExpressionNotPlusMinus,,SYNTAX,TRUE,FALSE,,FALSE,FALSE,
mixin.CastExpr2.printorder(),4,Method,mixin,CastExpr2,printorder(),SYNTAX,TRUE,TRUE,,TRUE,FALSE,mixin.CastExpr2.printorder() is a child of mixin.CastExpr2 THEN it also is fprivate of SYNTAX   
mixin.CastExpr2.setParms(AstToken tok0; AST_TypeName arg0; AstToken tok1; UnaryExpressionNotPlusMinus arg1),4,Method,mixin,CastExpr2,setParms(AstToken tok0; AST_TypeName arg0; AstToken tok1; UnaryExpressionNotPlusMinus arg1),SYNTAX,TRUE,TRUE,,TRUE,FALSE,mixin.CastExpr2.setParms(AstToken tok0; AST_TypeName arg0; AstToken tok1; UnaryExpressionNotPlusMinus arg1) calls fprivate mixin.CastExpr2.ARG_LENGTH THEN it also belongs to SYNTAX   
mixin.AST_TypeNameListElem,2,Class,mixin,AST_TypeNameListElem,,SYNTAX,TRUE,FALSE,,TRUE,FALSE,
mixin.AstListNode,2,Class,mixin,AstListNode,,KERNEL,FALSE,FALSE,,FALSE,FALSE,
mixin.AST_TypeNameListElem.getTName(),4,Method,mixin,AST_TypeNameListElem,getTName(),SYNTAX,TRUE,TRUE,,TRUE,FALSE,mixin.AST_TypeNameListElem.getTName() is a child of mixin.AST_TypeNameListElem THEN it also is fprivate of SYNTAX   
mixin.TName,2,Class,mixin,TName,,SYNTAX,FALSE,FALSE,,FALSE,FALSE,
mixin.AST_TypeNameListElem.setParms(AstToken tok0; TName arg0),4,Method,mixin,AST_TypeNameListElem,setParms(AstToken tok0; TName arg0),SYNTAX,TRUE,TRUE,,TRUE,FALSE,mixin.AST_TypeNameListElem.setParms(AstToken tok0; TName arg0) is a child of mixin.AST_TypeNameListElem THEN it also is fprivate of SYNTAX   
