Identifier,TypeID,Type,Package,Class,Member,Feature,Is_fprivate?,Is_inferred?,Parent_features,Is_terminal?,Is_hook?,Inferences
mixin.TransitionDecl,2,Class,mixin,TransitionDecl,,syntax,TRUE,FALSE,,TRUE,FALSE,
mixin,1,Package,mixin,,,kernel,FALSE,FALSE,,TRUE,FALSE,
mixin.Es,2,Class,mixin,Es,,syntax,TRUE,FALSE,,FALSE,FALSE,
mixin.TransitionDecl.ARG_LENGTH,3,Field,mixin,TransitionDecl,ARG_LENGTH,,FALSE,FALSE,,TRUE,FALSE,
mixin.TransitionDecl.TOK_LENGTH,3,Field,mixin,TransitionDecl,TOK_LENGTH,,FALSE,FALSE,,TRUE,FALSE,
mixin.TransitionDecl.getARROW(),4,Method,mixin,TransitionDecl,getARROW(),,FALSE,FALSE,,TRUE,FALSE,
mixin.AstToken,2,Class,mixin,AstToken,,kernel,FALSE,FALSE,,TRUE,FALSE,
mixin.AstTokenInterface,2,Class,mixin,AstTokenInterface,,kernel,FALSE,FALSE,,TRUE,FALSE,
mixin.AstNode,2,Class,mixin,AstNode,,kernel,FALSE,FALSE,,FALSE,FALSE,
mixin.AstNode.tok,3,Field,mixin,AstNode,tok,,FALSE,FALSE,,TRUE,FALSE,
mixin.TransitionDecl.getAST_Exp(),4,Method,mixin,TransitionDecl,getAST_Exp(),,FALSE,FALSE,,TRUE,FALSE,
mixin.AST_Exp,2,Class,mixin,AST_Exp,,syntax,FALSE,FALSE,,FALSE,FALSE,
mixin.AstNode.arg,3,Field,mixin,AstNode,arg,,FALSE,FALSE,,TRUE,FALSE,
mixin.TransitionDecl.getBlock(),4,Method,mixin,TransitionDecl,getBlock(),,FALSE,FALSE,,TRUE,FALSE,
mixin.Block,2,Class,mixin,Block,,syntax,TRUE,FALSE,,FALSE,FALSE,
mixin.Statement,2,Class,mixin,Statement,,syntax,TRUE,FALSE,,FALSE,FALSE,
mixin.TransitionDecl.getCONDITION(),4,Method,mixin,TransitionDecl,getCONDITION(),,FALSE,FALSE,,TRUE,FALSE,
mixin.TransitionDecl.getDO(),4,Method,mixin,TransitionDecl,getDO(),,FALSE,FALSE,,TRUE,FALSE,
mixin.TransitionDecl.getEDGE(),4,Method,mixin,TransitionDecl,getEDGE(),,FALSE,FALSE,,TRUE,FALSE,
mixin.TransitionDecl.getQName(),4,Method,mixin,TransitionDecl,getQName(),,FALSE,FALSE,,TRUE,FALSE,
mixin.QName,2,Class,mixin,QName,,syntax,FALSE,FALSE,,FALSE,FALSE,
mixin.QName.mangleLocalIds(int stage),4,Method,mixin,QName,mangleLocalIds(int stage),,FALSE,FALSE,,TRUE,FALSE,
mixin.AstNode.mangleLocalIds(int stage),4,Method,mixin,AstNode,mangleLocalIds(int stage),,FALSE,FALSE,,TRUE,FALSE,
mixin.TransitionDecl.getStartName(),4,Method,mixin,TransitionDecl,getStartName(),,FALSE,FALSE,,TRUE,FALSE,
mixin.StartName,2,Class,mixin,StartName,,syntax,TRUE,FALSE,,FALSE,FALSE,
mixin.TransitionDecl.printorder(),4,Method,mixin,TransitionDecl,printorder(),,FALSE,FALSE,,TRUE,FALSE,
mixin.TransitionDecl.setParms(AstToken tok0; QName arg0; AstToken tok1; StartName arg1; AstToken tok2; QName arg2; AstToken tok3; AST_Exp arg3; AstToken tok4; Block arg4),4,Method,mixin,TransitionDecl,setParms(AstToken tok0; QName arg0; AstToken tok1; StartName arg1; AstToken tok2; QName arg2; AstToken tok3; AST_Exp arg3; AstToken tok4; Block arg4),,FALSE,FALSE,,TRUE,FALSE,
mixin.AstNode.InitChildren(),4,Method,mixin,AstNode,InitChildren(),,FALSE,FALSE,,TRUE,FALSE,
mixin.CastExpr2,2,Class,mixin,CastExpr2,,syntax,TRUE,FALSE,,TRUE,FALSE,
mixin.CastExpression,2,Class,mixin,CastExpression,,syntax,TRUE,FALSE,,FALSE,FALSE,
mixin.CastExpr2.ARG_LENGTH,3,Field,mixin,CastExpr2,ARG_LENGTH,,FALSE,FALSE,,TRUE,FALSE,
mixin.CastExpr2.TOK_LENGTH,3,Field,mixin,CastExpr2,TOK_LENGTH,,FALSE,FALSE,,TRUE,FALSE,
mixin.CastExpr2.getAST_TypeName(),4,Method,mixin,CastExpr2,getAST_TypeName(),,FALSE,FALSE,,TRUE,FALSE,
mixin.AST_TypeName,2,Class,mixin,AST_TypeName,,syntax,FALSE,FALSE,,FALSE,FALSE,
mixin.CastExpr2.getUnaryExpressionNotPlusMinus(),4,Method,mixin,CastExpr2,getUnaryExpressionNotPlusMinus(),,FALSE,FALSE,,TRUE,FALSE,
mixin.UnaryExpressionNotPlusMinus,2,Class,mixin,UnaryExpressionNotPlusMinus,,syntax,TRUE,FALSE,,FALSE,FALSE,
mixin.UnaryExpression,2,Class,mixin,UnaryExpression,,syntax,TRUE,FALSE,,FALSE,FALSE,
mixin.CastExpr2.printorder(),4,Method,mixin,CastExpr2,printorder(),,FALSE,FALSE,,TRUE,FALSE,
mixin.CastExpr2.setParms(AstToken tok0; AST_TypeName arg0; AstToken tok1; UnaryExpressionNotPlusMinus arg1),4,Method,mixin,CastExpr2,setParms(AstToken tok0; AST_TypeName arg0; AstToken tok1; UnaryExpressionNotPlusMinus arg1),,FALSE,FALSE,,TRUE,FALSE,
mixin.AST_TypeNameListElem,2,Class,mixin,AST_TypeNameListElem,,syntax,TRUE,FALSE,,TRUE,FALSE,
mixin.AstListNode,2,Class,mixin,AstListNode,,kernel,FALSE,FALSE,,FALSE,FALSE,
mixin.AST_TypeNameListElem.getTName(),4,Method,mixin,AST_TypeNameListElem,getTName(),,FALSE,FALSE,,TRUE,FALSE,
mixin.TName,2,Class,mixin,TName,,syntax,FALSE,FALSE,,FALSE,FALSE,
mixin.AST_TypeNameListElem.setParms(AstToken tok0; TName arg0),4,Method,mixin,AST_TypeNameListElem,setParms(AstToken tok0; TName arg0),,FALSE,FALSE,,TRUE,FALSE,
mixin.AST_TypeNameListElem.setParms(TName arg0),4,Method,mixin,AST_TypeNameListElem,setParms(TName arg0),,FALSE,FALSE,,TRUE,FALSE,
mixin.ShiftExprChoices,2,Class,mixin,ShiftExprChoices,,syntax,TRUE,FALSE,,FALSE,FALSE,
mixin.True,2,Class,mixin,TRUE,,syntax,TRUE,FALSE,,TRUE,FALSE,
mixin.BooleanLiteral,2,Class,mixin,BooleanLiteral,,syntax,TRUE,FALSE,,FALSE,FALSE,
mixin.True.ARG_LENGTH,3,Field,mixin,TRUE,ARG_LENGTH,,FALSE,FALSE,,TRUE,FALSE,
mixin.True.TOK_LENGTH,3,Field,mixin,TRUE,TOK_LENGTH,,FALSE,FALSE,,TRUE,FALSE,
mixin.True.printorder(),4,Method,mixin,TRUE,printorder(),,FALSE,FALSE,,TRUE,FALSE,
mixin.True.setParms(AstToken tok0),4,Method,mixin,TRUE,setParms(AstToken tok0),,FALSE,FALSE,,TRUE,FALSE,
mixin.MoreAddExpr,2,Class,mixin,MoreAddExpr,,syntax,TRUE,FALSE,,TRUE,FALSE,
mixin.AstList,2,Class,mixin,AstList,,kernel,FALSE,FALSE,,FALSE,FALSE,
mixin.QuestExpr,2,Class,mixin,QuestExpr,,syntax,TRUE,FALSE,,TRUE,FALSE,
mixin.ConditionalExpression,2,Class,mixin,ConditionalExpression,,syntax,TRUE,FALSE,,FALSE,FALSE,
mixin.QuestExpr.ARG_LENGTH,3,Field,mixin,QuestExpr,ARG_LENGTH,,FALSE,FALSE,,TRUE,FALSE,
mixin.QuestExpr.TOK_LENGTH,3,Field,mixin,QuestExpr,TOK_LENGTH,,FALSE,FALSE,,TRUE,FALSE,
mixin.QuestExpr.getConditionalExpression(),4,Method,mixin,QuestExpr,getConditionalExpression(),,FALSE,FALSE,,TRUE,FALSE,
mixin.Expression,2,Class,mixin,Expression,,syntax,TRUE,FALSE,,FALSE,FALSE,
mixin.QuestExpr.getConditionalOrExpression(),4,Method,mixin,QuestExpr,getConditionalOrExpression(),,FALSE,FALSE,,TRUE,FALSE,
mixin.ConditionalOrExpression,2,Class,mixin,ConditionalOrExpression,,syntax,TRUE,FALSE,,FALSE,FALSE,
mixin.QuestExpr.getExpression(),4,Method,mixin,QuestExpr,getExpression(),,FALSE,FALSE,,TRUE,FALSE,
mixin.QuestExpr.printorder(),4,Method,mixin,QuestExpr,printorder(),,FALSE,FALSE,,TRUE,FALSE,
