from,to
bali2jak.BaliParserConstants,bali2jak
bali2jak.BaliParserConstants.EOF,bali2jak.BaliParserConstants
bali2jak.BaliParserConstants.SINGLE_LINE_COMMENT,bali2jak.BaliParserConstants
bali2jak.BaliParserConstants.FORMAL_COMMENT,bali2jak.BaliParserConstants
bali2jak.BaliParserConstants.MULTI_LINE_COMMENT,bali2jak.BaliParserConstants
bali2jak.BaliParserConstants.LETTER,bali2jak.BaliParserConstants
bali2jak.BaliParserConstants.DIGIT,bali2jak.BaliParserConstants
bali2jak.BaliParserConstants.CLOSEANGLE,bali2jak.BaliParserConstants
bali2jak.BaliParserConstants.CLOSEPAREN,bali2jak.BaliParserConstants
bali2jak.BaliParserConstants.LBRACE,bali2jak.BaliParserConstants
bali2jak.BaliParserConstants.OPENANGLE,bali2jak.BaliParserConstants
bali2jak.BaliParserConstants.OPENPAREN,bali2jak.BaliParserConstants
bali2jak.BaliParserConstants.RBRACE,bali2jak.BaliParserConstants
bali2jak.BaliParserConstants._CODE,bali2jak.BaliParserConstants
bali2jak.BaliParserConstants._EOF,bali2jak.BaliParserConstants
bali2jak.BaliParserConstants._IGNORE_CASE,bali2jak.BaliParserConstants
bali2jak.BaliParserConstants._JAVACODE,bali2jak.BaliParserConstants
bali2jak.BaliParserConstants._LOOKAHEAD,bali2jak.BaliParserConstants
bali2jak.BaliParserConstants._MORE,bali2jak.BaliParserConstants
bali2jak.BaliParserConstants._OPTIONS,bali2jak.BaliParserConstants
bali2jak.BaliParserConstants._PARSER_BEGIN,bali2jak.BaliParserConstants
bali2jak.BaliParserConstants._PARSER_END,bali2jak.BaliParserConstants
bali2jak.BaliParserConstants._REQUIRE,bali2jak.BaliParserConstants
bali2jak.BaliParserConstants._SKIP,bali2jak.BaliParserConstants
bali2jak.BaliParserConstants._SPECIAL_TOKEN,bali2jak.BaliParserConstants
bali2jak.BaliParserConstants._TOKEN,bali2jak.BaliParserConstants
bali2jak.BaliParserConstants._TOKEN_MGR_DECLS,bali2jak.BaliParserConstants
bali2jak.BaliParserConstants.BALI_TOKEN,bali2jak.BaliParserConstants
bali2jak.BaliParserConstants.UPPERCASE,bali2jak.BaliParserConstants
