Identifier,TypeID,Type,Package,Class,Member,Feature,Is_fprivate?,Is_inferred?,Parent_features,Is_terminal?,Is_hook?,Inferences,User_comment,Member_modifier
guidsl.GroupButtons,2,Class,guidsl,GroupButtons,,BASE,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,public
guidsl,1,Package,guidsl,,,BASE,FALSE,FALSE,,TRUE,FALSE,,Package is always kernel,
guidsl.GroupButtons.buttons,3,Field,guidsl,GroupButtons,buttons,BASE,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,protected
guidsl.GroupButtons.min,3,Field,guidsl,GroupButtons,min,BASE,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,private
guidsl.GroupButtons.max,3,Field,guidsl,GroupButtons,max,BASE,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,private
guidsl.GroupButtons.GroupButtons(int mn; int mx),5,Constructor,guidsl,GroupButtons,GroupButtons(int mn; int mx),BASE,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,public
guidsl.GroupButtons.addToGroup(AbstractButton jb),4,Method,guidsl,GroupButtons,addToGroup(AbstractButton jb),BASE,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,public
guidsl.GroupButtons.actionPerformed(ActionEvent e),4,Method,guidsl,GroupButtons,actionPerformed(ActionEvent e),BASE,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,public
guidsl.implies,2,Class,guidsl,implies,,BASE,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,public
guidsl.node,2,Class,guidsl,node,,BASE,FALSE,FALSE,,FALSE,FALSE,,set by GuiDSLSol,public
guidsl.implies.cnf(),4,Method,guidsl,implies,cnf(),BASE,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,public
guidsl.node.cnf(),4,Method,guidsl,node,cnf(),BASE,FALSE,FALSE,,TRUE,FALSE,,set by GuiDSLSol,public
