Identifier,TypeID,Type,Package,Class,Member,Feature,Is_fprivate?,Is_inferred?,Parent_features,Is_terminal?,Is_hook?,Inferences,User_comment,Member_modifier
mixin.AddExprChoices,2,Class,mixin,AddExprChoices,,,FALSE,FALSE,,FALSE,FALSE,,,public
mixin,1,Package,mixin,,,,FALSE,FALSE,,TRUE,FALSE,,,
mixin.AstNode,2,Class,mixin,AstNode,,,FALSE,FALSE,,FALSE,FALSE,,,public
mixin.SmSName,2,Class,mixin,SmSName,,,FALSE,FALSE,,TRUE,FALSE,,,public
mixin.StartName,2,Class,mixin,StartName,,,FALSE,FALSE,,FALSE,FALSE,,,public
mixin.SmSName.ARG_LENGTH,3,Field,mixin,SmSName,ARG_LENGTH,,FALSE,FALSE,,TRUE,FALSE,,,public
mixin.SmSName.TOK_LENGTH,3,Field,mixin,SmSName,TOK_LENGTH,,FALSE,FALSE,,TRUE,FALSE,,,public
mixin.SmSName.getQName(),4,Method,mixin,SmSName,getQName(),,FALSE,FALSE,,TRUE,FALSE,,,public
mixin.QName,2,Class,mixin,QName,,,FALSE,FALSE,,FALSE,FALSE,,,public
mixin.AstNode.arg,3,Field,mixin,AstNode,arg,,FALSE,FALSE,,TRUE,FALSE,,,public
mixin.SmSName.printorder(),4,Method,mixin,SmSName,printorder(),,FALSE,FALSE,,TRUE,FALSE,,,public
mixin.SmSName.setParms(QName arg0),4,Method,mixin,SmSName,setParms(QName arg0),,FALSE,FALSE,,TRUE,FALSE,,,public
mixin.AstTokenInterface,2,Class,mixin,AstTokenInterface,,,FALSE,FALSE,,FALSE,FALSE,,,package-private
mixin.AstNode.tok,3,Field,mixin,AstNode,tok,,FALSE,FALSE,,TRUE,FALSE,,,public
mixin.AstNode.InitChildren(),4,Method,mixin,AstNode,InitChildren(),,FALSE,FALSE,,TRUE,FALSE,,,public
mixin.SetParent,2,Class,mixin,SetParent,,,FALSE,FALSE,,TRUE,FALSE,,,public
mixin.Statement,2,Class,mixin,Statement,,,FALSE,FALSE,,FALSE,FALSE,,,public
mixin.SetParent.ARG_LENGTH,3,Field,mixin,SetParent,ARG_LENGTH,,FALSE,FALSE,,TRUE,FALSE,,,public
mixin.SetParent.TOK_LENGTH,3,Field,mixin,SetParent,TOK_LENGTH,,FALSE,FALSE,,TRUE,FALSE,,,public
mixin.SetParent.getAST_Exp(),4,Method,mixin,SetParent,getAST_Exp(),,FALSE,FALSE,,TRUE,FALSE,,,public
mixin.AST_Exp,2,Class,mixin,AST_Exp,,,FALSE,FALSE,,FALSE,FALSE,,,public
mixin.SetParent.getENVIRONMENT(),4,Method,mixin,SetParent,getENVIRONMENT(),,FALSE,FALSE,,TRUE,FALSE,,,public
mixin.AstToken,2,Class,mixin,AstToken,,,FALSE,FALSE,,TRUE,FALSE,,,public
mixin.SetParent.getPARENT(),4,Method,mixin,SetParent,getPARENT(),,FALSE,FALSE,,TRUE,FALSE,,,public
mixin.SetParent.printorder(),4,Method,mixin,SetParent,printorder(),,FALSE,FALSE,,TRUE,FALSE,,,public
mixin.SetParent.setParms(AstToken tok0; AstToken tok1; AST_Exp arg0; AstToken tok2),4,Method,mixin,SetParent,setParms(AstToken tok0; AstToken tok1; AST_Exp arg0; AstToken tok2),,FALSE,FALSE,,TRUE,FALSE,,,public
mixin.PrepareDecl,2,Class,mixin,PrepareDecl,,,FALSE,FALSE,,TRUE,FALSE,,,public
mixin.Es,2,Class,mixin,Es,,,FALSE,FALSE,,FALSE,FALSE,,,public
mixin.PrepareDecl.ARG_LENGTH,3,Field,mixin,PrepareDecl,ARG_LENGTH,,FALSE,FALSE,,TRUE,FALSE,,,public
mixin.PrepareDecl.TOK_LENGTH,3,Field,mixin,PrepareDecl,TOK_LENGTH,,FALSE,FALSE,,TRUE,FALSE,,,public
mixin.PrepareDecl.getBlock(),4,Method,mixin,PrepareDecl,getBlock(),,FALSE,FALSE,,TRUE,FALSE,,,public
mixin.Block,2,Class,mixin,Block,,,FALSE,FALSE,,FALSE,FALSE,,,public
mixin.PrepareDecl.getPREPARE(),4,Method,mixin,PrepareDecl,getPREPARE(),,FALSE,FALSE,,TRUE,FALSE,,,public
mixin.PrepareDecl.getQName(),4,Method,mixin,PrepareDecl,getQName(),,FALSE,FALSE,,TRUE,FALSE,,,public
mixin.PrepareDecl.printorder(),4,Method,mixin,PrepareDecl,printorder(),,FALSE,FALSE,,TRUE,FALSE,,,public
mixin.PrepareDecl.setParms(AstToken tok0; QName arg0; Block arg1),4,Method,mixin,PrepareDecl,setParms(AstToken tok0; QName arg0; Block arg1),,FALSE,FALSE,,TRUE,FALSE,,,public
mixin.PreIncrementExpression,2,Class,mixin,PreIncrementExpression,,,FALSE,FALSE,,FALSE,FALSE,,,public
mixin.UnaryExpression,2,Class,mixin,UnaryExpression,,,FALSE,FALSE,,FALSE,FALSE,,,public
mixin.AdEBody,2,Class,mixin,AdEBody,,,FALSE,FALSE,,FALSE,FALSE,,,public
mixin.ConSuper,2,Class,mixin,ConSuper,,,FALSE,FALSE,,TRUE,FALSE,,,public
